Wavenumber,1-ocp_02,10--1_2v_01,11--1_3v_01,12--1_4v_01,13--1_5v_01,14--1_6v_01,15--1_7v_01,16--1_8v_01,17--1_9v_01,18--1_7v-b_01,18--1_8v-b_01,19--1_6v-b_01,2--0_4v_01,20--1_5v-b_01,21--1_4v-b_01,22--1_3v-b_01,23--1_2v-b_01,24--1_1v-b_01,25--1v-b_01,26--0_9v-b_01,27--0_8v-b_01,28--0_7v-b_01,29--0_6v-b_01,3--0_5v_01,30--0_5v-b_01,31--0_4v-b_01,32--ocp-b_01,34--2v-b_01,4--0_6v_01,5--0_7v_01,6--0_8v_01,7--0_9v_01,8--1v_01,9--1_1v_01
38.1991,1363.39,2033.54,1856.54,1793.8,1717.15,1699.37,1772.28,1721.38,1681.96,1386.97,1450.68,1355.41,1589.6,1309.11,1296.78,1291.94,1381.04,1336.79,1406.43,1324.58,1374.76,1464.1,2038.14,1839.86,1448.02,1311.53,1160.4,478.281,2168.95,2435.78,2224.44,1979.74,2057,2014.32
38.5389,1368.33,2027.18,1836.69,1791.73,1715.58,1693.47,1760.67,1740.73,1692.38,1387.07,1437.95,1348.63,1585.29,1298.84,1292.67,1298.23,1374.74,1336.55,1401.33,1319.14,1380.54,1454.75,2043.25,1843.22,1459.23,1303.67,1154.04,480.809,2177.66,2428.82,2226.97,1984.39,2048.69,1998.78
38.8771,1357.66,2002.24,1853.12,1776.75,1718.86,1689.5,1766.47,1722.25,1678.74,1395.73,1434.88,1344.49,1601.28,1295.55,1284.43,1301.59,1371.8,1355.13,1389.81,1323.1,1378.81,1454.82,2023.87,1840.67,1449.5,1308.12,1155.74,472.856,2150.39,2411.29,2205.49,1980.49,2036.56,2008.76
39.2168,1354.44,2004.23,1866.74,1770.8,1692.75,1716.07,1763.19,1736.13,1663.03,1397.94,1439.38,1352.27,1582.07,1300.8,1279.65,1302.24,1374.14,1355.77,1408.09,1340.55,1378.12,1426.45,2015.47,1824.81,1456.78,1299.71,1147.11,473.994,2157.92,2410.45,2208.79,1985.63,2038.55,1983.94
39.5565,1363.22,2004.96,1867.48,1792.94,1697.38,1686.51,1774.09,1733.62,1672.61,1396.56,1424.95,1354.16,1590.7,1298.95,1290.49,1293.99,1390.64,1333.38,1417.46,1342.32,1376.51,1458.42,2010.28,1806.59,1459.75,1289.16,1131.99,476.595,2165.88,2401.34,2207.32,1973.07,2050.39,1996.38
39.8962,1356.54,2008.84,1859.41,1780.53,1721.34,1688.97,1757.34,1715.79,1678.58,1374.05,1419.59,1344.94,1583.15,1303.99,1285.27,1296.99,1363.67,1349.77,1396.4,1343.73,1369.58,1463.44,2012.1,1812.06,1443.15,1299.52,1140.68,473.399,2138.57,2411.45,2196.68,1959.67,2040.24,1980.69
40.2359,1338.61,2002.67,1860.75,1755.19,1698.06,1692.38,1757.96,1710.98,1658.32,1382.82,1428.47,1338.73,1565.44,1295.37,1280.03,1300.33,1381.37,1339.7,1411.93,1336.08,1366.75,1439.95,2007.86,1794.2,1441.88,1272.55,1145.73,466.938,2129.61,2395.2,2193.62,1979.96,2018.13,1987.93
40.5756,1339.52,2003.6,1849.5,1775.84,1714.13,1682.61,1736.47,1696.5,1668.96,1382.87,1431.3,1337.22,1572.95,1294.23,1290.97,1294.11,1375.5,1335.29,1412.34,1336.74,1386.86,1450.14,2019.06,1804.46,1449.29,1287.23,1145.69,473.396,2121.34,2369.27,2196.82,1965.68,2035.12,1973.29
40.9152,1344.65,2007.44,1846.24,1791.18,1688.54,1678.64,1741.31,1706.42,1664.03,1391.38,1424.59,1333.42,1564.54,1298.89,1299.49,1295.27,1383.53,1339.46,1409.01,1326.42,1372.18,1444.75,2001.65,1781.4,1434.85,1275.34,1144.33,473.937,2119.98,2387.44,2182.53,1955.4,2034.85,1989.81
41.2534,1335.22,2006.15,1850.88,1786.53,1696.94,1688.85,1750.67,1697.67,1665.19,1391.6,1423.84,1347.29,1550.97,1291.15,1294.53,1296.34,1368.18,1344.51,1403.92,1321.33,1360.45,1458.49,2021.24,1785.44,1425.89,1263.14,1136.97,470.387,2117.58,2377.65,2172.04,1963.04,2030.05,1975
41.593,1334.41,1996.01,1856.32,1785.58,1698.17,1693.82,1760.1,1710.6,1657.48,1380.17,1414.94,1347.57,1537.12,1291.92,1282.26,1303.15,1376.91,1356.02,1413.13,1330.31,1369.06,1445.97,2009.05,1762.88,1428.82,1270.31,1126.28,465.409,2109.73,2363.14,2173,1956.05,2035.97,1993.11
41.9326,1339.24,1999.02,1841.22,1783.03,1702.99,1679.45,1747.66,1718.81,1654.7,1381.37,1416.5,1335.37,1534.82,1295.29,1294.33,1298.43,1376.78,1337.43,1406.12,1333.56,1372.2,1457.55,2031.49,1772.89,1427.73,1272.84,1142.09,465.527,2091.01,2366.27,2170.69,1951.09,2025.09,1978.37
42.2722,1324.93,2000.68,1851.57,1775.63,1712.61,1680.49,1737.84,1695.83,1641.98,1381.31,1430.94,1352.34,1538.99,1296.56,1287.14,1292.57,1374.19,1351.37,1408.48,1326.86,1374.31,1443.01,1997.42,1778.53,1402.93,1261.79,1130.31,468.085,2071.31,2363.6,2166.2,1950.45,2008.41,1993.55
42.6118,1332.9,1993.73,1848.72,1771.8,1699.72,1675.69,1725.68,1701.77,1643.45,1374.91,1404.38,1336.4,1528.14,1295.59,1282.67,1286.41,1376.73,1352.21,1400.27,1332.29,1355.72,1443.74,2003.27,1767.58,1406.07,1252.72,1119.18,460.881,2077.53,2344.37,2161.68,1951.59,2010.51,1977.07
42.9498,1330.64,1997.47,1835.53,1772.01,1696.9,1677.09,1736.27,1695.81,1639.3,1377.37,1427.97,1343.92,1538.58,1291.87,1295.38,1303.71,1375.56,1344.28,1417.1,1326.17,1383.05,1459,2001.81,1750.52,1390.41,1242.6,1135.13,468.785,2077.77,2338.01,2156.26,1951.1,2019.81,1969.93
43.2894,1334.94,2006.82,1838.82,1767.56,1678.79,1679.39,1726.86,1685.67,1639.66,1365.98,1410.42,1337.35,1542.19,1292.67,1279.99,1299.43,1384.82,1357.4,1413.68,1331.07,1373.95,1437.84,1993.89,1762.37,1398.71,1248.7,1129.5,462.935,2075.05,2343.3,2151.51,1937.85,2023.12,1969.62
