Wavenumber,Original,Predicted_Baseline,Corrected_Predicted,Default_Baseline,Corrected_Default
89.8707,1144.25,1028.8347858388317,115.41521416116825,1134.7375988172926,9.512401182707436
90.2052,1130.03,1030.0312210135141,99.99877898648583,1134.058537401657,-4.028537401657104
90.5412,1141.64,1031.2365044387245,110.40349556127558,1133.4203163553739,8.21968364462623
90.8772,1144.59,1032.4501161196172,112.13988388038274,1132.782095309091,11.807904690909027
91.2132,1150.05,1033.6715360613457,116.37846393865425,1132.1438742628081,17.906125737191815
91.5492,1143.27,1034.900244269064,108.36975573093605,1131.5056532165252,11.76434678347482
91.8852,1143.06,1036.1357207479252,106.92427925207471,1130.867432170242,12.19256782975799
92.2211,1140.73,1037.3774455030823,103.35255449691772,1130.2292111239587,10.50078887604127
92.5555,1143.2,1038.6248985396876,104.57510146031245,1129.5909900776755,13.609009922324503
92.8914,1125.45,1039.877559862893,85.57244013710715,1128.952769031392,-3.502769031392063
93.2273,1130.66,1041.1349094778504,89.52509052214964,1128.3500130608215,2.3099869391785433
93.5632,1127.97,1042.3964273897113,85.57357261028869,1127.747257090251,0.22274290974905853
93.8991,1123.65,1043.661593603627,79.9884063963732,1127.1422688001417,-3.4922688001415736
94.2349,1123.0,1044.9298881247482,78.07011187525177,1126.5726419243526,-3.572641924352638
94.5693,1124.38,1046.200790958226,78.17920904177413,1126.0392008272447,-1.6592008272446037
94.9051,1132.01,1047.4737821092099,84.53621789079011,1125.5224782267605,6.48752177323945
95.2409,1130.03,1048.748341582849,81.281658417151,1125.0057556262761,5.024244373723832
95.5767,1127.43,1050.0239493842926,77.4060506157075,1124.489033025792,2.940966974208095
95.9125,1126.23,1051.30008551869,74.9299144813101,1123.9723104253078,2.257689574692222
96.2468,1132.16,1052.5762299911898,79.58377000881023,1123.4555878248234,8.704412175176685
96.5825,1114.27,1053.8518628069412,60.41813719305878,1122.938865224339,-8.668865224339015
96.9183,1140.13,1055.1264639710926,85.00353602890755,1122.5112105454996,17.61878945450053
97.254,1134.62,1056.3995134887937,78.22048651120622,1122.0835558666604,12.5364441333395
97.5882,1124.67,1057.6704913651936,66.99950863480649,1121.6559011878212,3.0140988121788723
97.9239,1116.33,1058.9388776054402,57.391122394559716,1121.228246508982,-4.8982465089820835
98.2596,1120.76,1060.2041522146817,60.55584778531829,1120.8503895968533,-0.09038959685335612
98.5952,1128.82,1061.465795198066,67.35420480193397,1120.473439469361,8.346560530638953
98.9294,1120.13,1062.723286560739,57.40671343926101,1120.0964893418686,0.033510658131490345
99.265,1122.91,1063.976106307848,58.93389369215197,1119.7192031668392,3.1907968331609027
99.6007,1138.01,1065.2237344445393,72.78626555546066,1119.3419169918097,18.66808300819025
99.9348,1120.47,1066.465650975959,54.00434902404095,1118.9646308167805,1.5053691832195
100.27,1124.55,1067.701335907254,56.84866409274605,1118.587344641751,5.962655358248867
100.606,1119.57,1068.9302692435692,50.63973075643071,1118.2100584667216,1.3599415332782883
100.94,1135.01,1070.1519309900505,64.85806900994953,1117.8327722916924,17.177227708307555
101.276,1118.23,1071.365801151842,46.86419884815791,1117.4554861166632,0.7745138833367946
101.611,1116.8,1072.5713597340891,44.228640265910826,1117.0704518948755,-0.27045189487557764
101.945,1116.63,1073.7680867419356,42.86191325806453,1116.6881308785998,-0.058130878599740754
102.281,1105.74,1074.955462180525,30.784537819474963,1116.3063926808795,-10.566392680879517
102.616,1124.69,1076.1329660550007,48.557033944999375,1116.0337089564246,8.656291043575493
102.95,1121.75,1077.3000783705045,44.44992162949552,1115.7610252319694,5.98897476803063
103.286,1118.52,1078.4562791321782,40.06372086782176,1115.4883415075142,3.0316584924858034
103.621,1115.17,1079.6010483451637,35.56895165483638,1115.215657783059,-0.04565778305891399
103.955,1127.84,1080.7338660146033,47.10613398539658,1114.9434318061851,12.896568193814801
104.29,1126.33,1081.854212145639,44.47578785436099,1114.6712058293112,11.65879417068868
104.626,1114.64,1082.9615667434118,31.678433256588278,1114.3989798524374,0.24102014756272183
104.96,1114.89,1084.055409813063,30.83459018693702,1114.124339549451,0.7656604505491487
105.295,1118.77,1085.1352213597334,33.63477864026663,1113.8420405985069,4.927959401493126
105.629,1112.82,1086.200481388564,26.61951861143598,1113.5597416475628,-0.7397416475628233
105.964,1116.83,1087.2506699046958,29.579330095304158,1113.2848733051228,3.5451266948771263
106.3,1111.53,1088.2852669132694,23.244733086730548,1113.0100049626826,-1.4800049626826421
106.633,1116.02,1089.303752419425,26.716247580574873,1112.7500350419566,3.2699649580433743
106.969,1114.45,1090.3056064283023,24.14439357169772,1112.4900651212304,1.9599348787696727
107.303,1119.92,1091.29030894504,28.629691054960176,1112.2300952005044,7.689904799495707
107.638,1104.73,1092.2573399747762,12.472660025223831,1111.9701252797784,-7.24012527977834
107.972,1119.65,1093.206179522649,26.443820477350982,1111.784210158162,7.865789841838023
108.307,1110.71,1094.1363075937957,16.573692406204373,1111.5982950365456,-0.8882950365455144
108.641,1101.66,1095.0472041933524,6.612795806647682,1111.4213080625805,-9.761308062580383
108.976,1103.08,1095.9383493264547,7.1416506735452,1111.3448658761106,-8.264865876110662
109.31,1115.11,1096.809222998238,18.300777001761844,1111.3532086350938,3.756791364906121
109.645,1107.73,1097.6593052138371,10.070694786162903,1111.361551394077,-3.6315513940769506
109.978,1108.42,1098.4880759783857,9.93192402161435,1111.40668098133,-2.9866809813299824
110.314,1111.27,1099.2950152970175,11.97498470298251,1111.4820144638059,-0.21201446380587186
110.647,1109.52,1100.079603174866,9.44039682513403,1111.55947595942,-2.0394759594200877
110.982,1117.25,1100.8413196170645,16.408680382935472,1111.6575148375257,5.592485162474304
111.316,1120.06,1101.5796446287466,18.48035537125338,1111.7555537156313,8.304446284368623
111.651,1113.31,1102.2940582150452,11.015941784954748,1111.853592593737,1.456407406262997
111.985,1115.23,1102.9840403810927,12.245959618907364,1111.9516314718423,3.278368528157671
